EID,Title,URL
746841182,"The one big thing driving some Republicans to back Harris","https://news-assets.apple.com/podcast/audio/672b62ff-8f31-4d08-8f3e-238308143fed/ANT-20241022v1.mp3"
746534750,"What early voting can and can’t tell us","https://news-assets.apple.com/podcast/audio/48f6bb3c-a807-4729-e7bc-6b9b005dde56/ANT-20241021v2.mp3"
745873419,"One state. Dueling abortion measures. Many confused voters.","https://news-assets.apple.com/podcast/audio/412ad9a1-9d7a-47b3-daa9-0730a9981726/ANT-20241018v3.mp3"
745577643,"Evidence points to his innocence. Texas plans to kill him.","https://news-assets.apple.com/podcast/audio/49e8dbf3-f8c8-440e-e07c-557bf01f5aea/ANT-20241017v3.mp3"
745234802,"Unpacking Trump’s bizarre town hall","https://news-assets.apple.com/podcast/audio/a6dc0624-ce86-461d-fb22-c707b7d9115e/ANT-20241016v1.mp3"
744935831,"The surprising industry scaring politicians — and winning elections","https://news-assets.apple.com/podcast/audio/e4121e39-2b43-4745-ebc3-f4f136c8e5de/ANT-20241015v2.mp3"
744658802,"What was flying in the skies during Sunday football","https://news-assets.apple.com/podcast/audio/419af66e-5f9b-420b-d890-856c0318ca43/ANT-20241014-v1.mp3"
743874958,"Why presidential candidates are all over your podcast feeds","https://news-assets.apple.com/podcast/audio/fc9b7888-d089-4ac2-a4cc-366ea97bc237/ANT-20241011v1.mp3"
743390948,"The Pennsylvania county that could swing the election","https://news-assets.apple.com/podcast/audio/c4cbf645-6232-4d7e-c133-dc8d5299c89a/ANT-20241010v3.mp3"
743135178,"The presidential race is tight. What can polls tell us?","https://news-assets.apple.com/podcast/audio/05fe37a2-13b2-4017-d18f-f56859a82fd1/ANT-20241009v1.mp3"
742843028,"How private equity transformed U.S. emergency rooms","https://news-assets.apple.com/podcast/audio/4b6bfef7-9e25-449b-9dae-c480d855cd8d/ANT-20241008v1.mp3"
742517119,"What the election could mean for Israel’s war in Gaza","https://news-assets.apple.com/podcast/audio/78eb26f3-1cdb-4922-9e50-b3d05d5fb9e2/ANT-20241007v2.mp3"
741864645,"Who gets the dog in a divorce?","https://news-assets.apple.com/podcast/audio/94e70a4c-5ebd-48cc-9a64-67f5dbb88fab/ANT-20241004v1.mp3"
741656236,"The dark truth about China’s adoption program","https://news-assets.apple.com/podcast/audio/165a3f55-1150-4765-8312-d0c57fb3bc69/ANT-20241003v2.mp3"
741343354,"The big takeaways from the vice-presidential debate","https://news-assets.apple.com/podcast/audio/285d6467-1858-4861-f57f-cf7e27c2fb66/ANT-20241002v4.mp3"
741147808,"Helene is gone, but North Carolina’s nightmare isn’t over","https://news-assets.apple.com/podcast/audio/32a6e102-0ed3-4bfc-aa82-15d59adeeceb/ANT-20241001v1.mp3"
740928591,"Millions are in crisis after Hurricane Helene","https://news-assets.apple.com/podcast/audio/518fd468-05f4-4695-9ca8-ff216d9d9473/ANT-20240930v1.mp3"
740408675,"New York City's mayor was indicted. What's next?","https://news-assets.apple.com/podcast/audio/cddb8353-6112-47ad-8324-6f8cf42582ac/ANT-20240927v1.mp3"
740118538,"Why a jury spared the Parkland school shooter’s life","https://news-assets.apple.com/podcast/audio/3c7b5aad-144d-48e0-a246-a3dd8a43a521/ANT-20240926v3.mp3"
739770882,"Beyond “freak offs”: a deeper look at the Diddy allegations","https://news-assets.apple.com/podcast/audio/2a52f028-34e3-4b60-a962-6b7235bda98f/ANT-20240925v2.mp3"
739448674,"How a GOP scandal could impact Trump","https://news-assets.apple.com/podcast/audio/41a088d7-e8b8-4096-e780-da76e5d0e05b/ANT-20240924v1.mp3"
739205115,"Their bodies were sold for research. Families didn’t know.","https://news-assets.apple.com/podcast/audio/19e88af1-2d52-4432-9669-482a53299dc4/ANT-20240923v1.mp3"
738561133,"Overdose deaths are plummeting. Scientists aren’t sure why.","https://news-assets.apple.com/podcast/audio/63fbda27-c570-4ec5-934c-cbb9a7c9df33/ANT-20240920v1.mp3"
738219953,"The Fed just cut rates. Here’s what that means for you.","https://news-assets.apple.com/podcast/audio/cbd4b1b1-2d29-40fe-f48e-8d3c8c88ac85/ANT-20240919v2.mp3"
737942061,"The future of Fox News hinges on a bitter family feud","https://news-assets.apple.com/podcast/audio/97557fdf-9c23-4742-d7cc-c966e6e55a83/ANT-20240918v2.mp3"
737666759,"How did a gunman get so close to Trump — again?","https://news-assets.apple.com/podcast/audio/3aa06e9a-ac2b-4ff0-c633-458456c530eb/ANT-20240917v2.mp3"
737426619,"Another gunman caught near Trump. What to know.","https://news-assets.apple.com/podcast/audio/e6660056-b750-4cac-abbf-5e4fb04349ef/ANT-20240916v2.mp3"
736749422,"Thanks to COVID, more Americans are single","https://news-assets.apple.com/podcast/audio/80f3cc78-ac9c-4d93-dcd6-06bfff386b9e/ANT-20240913v1.mp3"
736407616,"It may soon be legal to bet on elections. Is America ready?","https://news-assets.apple.com/podcast/audio/6ce84d19-46b1-4a31-dabc-8bb728b01fdb/ANT-20240912v2.mp3"
736093064,"The big moments from the Harris-Trump debate","https://news-assets.apple.com/podcast/audio/495df067-b7d7-44bb-ee06-2b789eaecfb6/ANT-20240911v2.mp3"
735848976,"What to look for as Harris and Trump square off","https://news-assets.apple.com/podcast/audio/321cdd9d-0368-4756-9b56-a555272fb97e/ANT-20240910v3.mp3"
735548247,"Harris is outraising Trump. Will it matter?","https://news-assets.apple.com/podcast/audio/3847af5e-a563-4792-c538-0be9b1c74bf7/ANT-20240909v1.mp3"
734844414,"How modern marijuana became so potent","https://news-assets.apple.com/podcast/audio/6a249b16-024f-4447-9396-5d4e115c0684/ANT-20240906v1.mp3"
734496893,"Inside foreign efforts to sow chaos in the 2024 election","https://news-assets.apple.com/podcast/audio/9b2ecded-68e2-4945-ea08-cf28fcaebea1/ANT-20240905v1.mp3"
734168316,"The Florida Republicans who want to protect abortion","https://news-assets.apple.com/podcast/audio/b4a67afa-9de5-4d93-b020-313216df3740/ANT-20240904v1.mp3"
733778617,"Union members could decide this election. Here’s how.","https://news-assets.apple.com/podcast/audio/ec3fa2f9-5a91-4674-e1c6-dd7db9864a36/ANT-20240903v1.mp3"
732330314,"How your tax bill might change under Harris or Trump","https://news-assets.apple.com/podcast/audio/1de11170-efac-4e4a-ddd8-af5677947beb/ANT-20240830v2-POD.mp3"
731963662,"10 races that could flip the Senate in 2024","https://news-assets.apple.com/podcast/audio/ef2d4472-20b0-47ec-827d-47e54acf4727/ANT-20240829v1.mp3"
731665024,"GOP officials are preparing to contest the election results","https://news-assets.apple.com/podcast/audio/c43ca5e6-9f35-4846-d498-5d222f066d98/ANT-20240828v1.mp3"
731339245,"Could a big merger drive grocery prices even higher?","https://news-assets.apple.com/podcast/audio/971c0345-e38d-4f85-efc1-c0340f937427/ANT-20240827v2.mp3"
731065046,"Why reality TV is about to change","https://news-assets.apple.com/podcast/audio/22bd3a86-19a7-496b-ba45-ff887053b667/ANT-20240826v1.mp3"
730368358,"What Harris did — and didn’t — say in her big speech","https://news-assets.apple.com/podcast/audio/26a0e84f-3901-4a12-90f1-df1ca23507f5/ANT-20240823v1.mp3"
730046104,"Are voters ready to elect a woman president?","https://news-assets.apple.com/podcast/audio/c0276f5e-1ed0-489c-8dda-1c57d1d2eabd/ANT-20240822v2.mp3"
729760776,"Harris brings out the Obamas to take on Trump","https://news-assets.apple.com/podcast/audio/a3d09180-48c9-4439-98da-dbc54357b723/ANT-20240821v1.mp3"
729477740,"Biden passes torch to Harris in generational shift","https://news-assets.apple.com/podcast/audio/4541b42d-4f8a-4362-cdce-0570a08ea205/ANT-20240820v3.mp3"
729137327,"How protests are affecting the Democratic convention","https://news-assets.apple.com/podcast/audio/bad3bed3-f4df-42fa-83cc-a455542fbe08/ANT-20240819v1.mp3"
728359381,"Harris and Trump pitch their economic plans","https://news-assets.apple.com/podcast/audio/eb1f3c51-9a42-43dc-e068-638d87ecb32b/ANT-20240816v2.mp3"
727987794,"Secret Project 2025 videos sketch plan for second Trump term","https://news-assets.apple.com/podcast/audio/d23fc0c7-6de8-4a74-dd1b-8a51f21920f8/ANT-20240815v2-POD.mp3"
727619252,"Maui is in trouble. It’s a great time to go.","https://news-assets.apple.com/podcast/audio/139afc5a-44f4-40c4-c868-ea6b790b6c48/ANT-20240814v1.mp3"
727344687,"Tim Walz owns no stock. How his finances make him a political outlier.","https://news-assets.apple.com/podcast/audio/0a5dbcfc-e660-4710-e348-b2459f2f7631/ANT-20240813v2-POD.mp3"
569229361,"Inside the urgent search for earthquake survivors","https://news-assets.apple.com/podcast/audio/6a761b48-6546-43e9-b429-63a6948cfb4f/ANT-20230207v3.mp3"
568912092,"Why the China balloon spying story isn’t over","https://news-assets.apple.com/podcast/audio/c1267a41-cecc-4f64-e40b-0a1ee13b7a69/ANT-20230206v3.mp3"
568056309,"Why we’re all implicated in the “shoplifting epidemic”","https://news-assets.apple.com/podcast/audio/9ccb752e-d027-44fe-b975-fc679e1d160c/ANT-20230203v4.mp3"
567788699,"Inside the GOP’s struggle to move past Trump","https://news-assets.apple.com/podcast/audio/cff52d23-5bb0-4af6-8a68-ec229005d28c/ANT-20230202v2.mp3"
567447586,"How to stop violent crime before police arrive","https://news-assets.apple.com/podcast/audio/d0c572f0-e625-4ecb-83dc-b287e1c130f8/ANT-20230201v3.mp3"
567116270,"Why Florida’s governor wants an AP course banned","https://news-assets.apple.com/podcast/audio/8ddfd1cc-8eb4-4b6e-e9fc-d929779e7879/ANT-20230131v1.mp3"
566855067,"New calls for change after Tyre Nichols’s killing","https://news-assets.apple.com/podcast/audio/72643e27-dfbc-42a2-a69b-3dd972f5f210/ANT-20230130v2.mp3"
566182095,"Former officers face murder charges in Tyre Nichols’s death","https://news-assets.apple.com/podcast/audio/1e1e53e9-6c4d-448d-fbc4-650819597bb8/ANT-20230127v2.mp3"
565907699,"The bill that could boost starting teacher salaries to $60K","https://news-assets.apple.com/podcast/audio/a4f97b7e-a6f2-4407-8624-80c147edc9ca/ANT-20220126v1.mp3"
565554579,"Reconsidering gun laws after California’s mass shootings","https://news-assets.apple.com/podcast/audio/b9943fae-7767-4099-fe6c-09ff4a9df231/ANT-20230125v1-A.mp3"
565236176,"Deadly shootings shock Asian American communities","https://news-assets.apple.com/podcast/audio/dd3b57db-2749-4781-92c6-106da8fcd17e/ANT-20230124v1.mp3"
564964464,"New details in the deadly California mass shooting","https://news-assets.apple.com/podcast/audio/16f17df8-c083-43d3-f54f-e6e98324fd32/ANT-20230123v4.mp3"
